STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Himachal Pradesh,CRUELTY BY HUSBAND OR RELATIVES,317,234,221,252,228,259,342,343,284,275,239,251,328,325,226,214
Jammu & Kashmir,CRUELTY BY HUSBAND OR RELATIVES,50,54,71,82,76,135,176,162,196,211,286,301,428,467,400,342
Jharkhand,CRUELTY BY HUSBAND OR RELATIVES,484,588,559,588,590,668,801,851,710,650,659,1261,2084,1462,1654,1002
Karnataka,CRUELTY BY HUSBAND OR RELATIVES,1755,1826,1704,1588,1883,2129,2507,2638,3185,3441,3712,3684,3276,3025,2732,2556
Kerala,CRUELTY BY HUSBAND OR RELATIVES,2561,2836,2930,3222,3283,3708,3999,4138,4007,4797,5377,5216,4820,4919,3668,3455
Madhya Pradesh,CRUELTY BY HUSBAND OR RELATIVES,2562,3117,2938,3436,2989,2989,3294,3185,3983,3756,3732,3988,4988,6451,5281,6264
Maharashtra,CRUELTY BY HUSBAND OR RELATIVES,6090,5353,5452,5646,6233,6738,7356,7829,7681,7434,7136,7415,8542,7696,7640,7215
Manipur,CRUELTY BY HUSBAND OR RELATIVES,5,10,4,2,20,10,15,28,25,18,39,43,29,41,39,29
Meghalaya,CRUELTY BY HUSBAND OR RELATIVES,4,0,4,5,3,13,19,32,24,24,21,16,23,42,44,26
Mizoram,CRUELTY BY HUSBAND OR RELATIVES,16,3,3,0,0,1,2,5,4,3,9,8,5,8,9,19
Nagaland,CRUELTY BY HUSBAND OR RELATIVES,0,0,0,0,0,3,0,4,0,1,1,0,4,3,4,3
Odisha,CRUELTY BY HUSBAND OR RELATIVES,1266,1167,1289,1192,1671,694,728,1618,2047,2067,2320,2638,2792,3114,3605,2781
Punjab,CRUELTY BY HUSBAND OR RELATIVES,1128,944,987,801,729,801,971,984,1061,1163,1136,1293,1741,1681,1583,1568
Rajasthan,CRUELTY BY HUSBAND OR RELATIVES,5532,5691,5733,6781,5997,7038,8170,8113,10371,11145,12218,13312,15094,15905,14383,13811
Sikkim,CRUELTY BY HUSBAND OR RELATIVES,0,3,1,1,4,6,7,5,6,3,4,4,5,5,2,2
Tamil Nadu,CRUELTY BY HUSBAND OR RELATIVES,815,1052,1555,1437,1650,1248,1976,1648,1460,1570,1812,1965,2471,2103,1900,1256
Tripura,CRUELTY BY HUSBAND OR RELATIVES,227,236,247,302,439,471,545,735,815,937,702,858,827,702,501,430
Uttar Pradesh,CRUELTY BY HUSBAND OR RELATIVES,7365,5679,2626,4950,4505,5204,7650,8312,8566,7978,7121,7661,8781,10471,8660,11156
Uttarakhand,CRUELTY BY HUSBAND OR RELATIVES,301,316,317,405,272,358,463,340,361,334,307,368,435,301,407,392
West Bengal,CRUELTY BY HUSBAND OR RELATIVES,3859,4069,4948,6334,6936,7414,9900,13663,16112,17796,19772,19865,115721,23278,20163,19302
A&N Islands,CRUELTY BY HUSBAND OR RELATIVES,9,4,7,5,5,7,18,26,21,9,5,5,9,14,14,7
Chandigarh,CRUELTY BY HUSBAND OR RELATIVES,36,56,93,73,75,102,112,49,51,41,46,73,92,141,126,122
D&N Haveli,CRUELTY BY HUSBAND OR RELATIVES,4,3,2,3,5,5,3,4,3,3,3,0,1,6,2,6
Daman & Diu,CRUELTY BY HUSBAND OR RELATIVES,4,3,0,4,3,2,3,5,3,3,2,3,2,1,3,8
Delhi UT,CRUELTY BY HUSBAND OR RELATIVES,138,135,1211,1254,1324,1728,1787,1387,1283,1404,1575,1985,3033,3173,3521,3877
Lakshadweep,CRUELTY BY HUSBAND OR RELATIVES,0,0,1,1,0,1,2,1,0,0,0,1,0,0,2,2
Puducherry,CRUELTY BY HUSBAND OR RELATIVES,3,9,4,2,6,19,17,12,10,7,10,6,8,4,4,15
INDIA,CRUELTY BY HUSBAND OR RELATIVES,49170,49237,50703,58121,58319,63128,75930,81344,89546,94041,99135,106527,118866,122877,113403,110378
Andhra Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,1332,871,349,405,681,657,612,357,279,548,497,472,489,396,456,426
Arunachal Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0
Assam,IMMORAL TRAFFIC(PREVENTION)ACT,6,24,22,28,25,29,21,27,37,25,21,30,18,29,47,65
Bihar,IMMORAL TRAFFIC(PREVENTION)ACT,29,10,9,24,28,13,27,39,40,24,23,35,64,31,21,50
